MDL_NO,CAPTION,JUDGE,DISTRICT,DATE_FILED,DATE_TRANSFERRED,DATE_TERMINTAED,MASTER_DOCKET,TOTAL_ACTIONS,TYPE,APPOINTMENT_ORDER,APPOINTMENT_ORDER_CONTESTED,PLAINTIFF_LEAD_COUNSEL ,PLAINTIFF_LEAD_COUNSEL_AUTHORITY,PLAINTIFF_LEAD_COUNSEL_DUTIES,PLAINTIFF_LEADERSHIP_STRUCTURE, PLAINTIFF_LEADERSHIP_AUTHORITY ,PLAINTIFF_LEADERSHIP_DUTIES ,PLAINTIFF_LIAISON_COUNSEL ,DEFENSE_LEAD_COUNSEL,DEFENSE_LEADERSHIP_STRUCTURE  ,DEFENSE _LIAISON_COUNSEL ,RULE_23,MCL,LIMIT_NONLEADER_PRACTICE ,FINANCIAL_CONTRIBUTION,LEADERSHIP_COMPENSATION,RECORDKEEPING,COMMENTS_OLD,Notes,Assigned to,Complete,Order_Count,Sum_OU_Create,Sum_OU_Terminate,Net_OUs,YEARS_PENDING,Source_Table
2865,2865 IN RE: Customs and Tax Administration of the Kingdom of Denmark (Skatteforvaltningen) Tax Refund Scheme Litigation,"Kaplan, Lewis A.",NYS,2018-07-23,2018-10-03,2018-11-20,1:18-md-2865,184,Miscellanous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kaplan requests letters setting forth lead counsel's dutie but never so-orders them. Interesting exchange of letters.,,Robert Vogel,checked,1,1,0,1,,old
2867,2867 IN RE: Local TV Advertising Antitrust Litigation,"Kendall, Virginia M.",ILN,2018-07-31,2018-10-03,2018-11-02,1:18-cv-6785,20,Antitrust,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,Thin structure,,Mariah Uustal,checked,3,3,0,3,,old
2873,2873 IN RE: Aqueous Film-Forming Foams Products Liability Litigation,"Gergel, Richard M.",SC,2018-09-25,2018-12-07,2019-01-02,2:18-mn-2873,108,Products Liability,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,No pleadings or filings on behalf of all plaintiffs except as authorized by PEC. Comprehensive order.,2023-2024 Order Appointing Lead Counsels does not seem to exist. I double-checked in the docket and could not find it.,Mariah Uustal,checked,16,8,0,8,,old
2874,2874 IN RE: RAH Color Technologies LLC Patent Litigation,"Illston, Susan Yvonne",CAN,2018-10-01,2018-12-06,,3:18-md-2874,6,Intellectual Property,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patent case,,Robert Vogel,checked,1,1,0,1,,old
2875,2875 IN RE: Valsartan Products Liability Litigation,"Kugler, Robert B.",NJ,2018-10-22,2019-02-14,2019-05-06,1:19-md-2875,60,Products Liability,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,Split structure devised by Ps,,Robert Vogel,checked,9,10,0,10,,old
2878,2878 IN RE: Ranbaxy Generic Drug Application Antitrust Litigation,"Gorton, Nathaniel M.",MA,2018-11-30,2019-02-11,2019-04-22,1:19-md-2878,4,Antitrust,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,Mariah Uustal,checked,4,4,0,4,,old
2879,"2879 IN RE: Marriott International, Inc., Customer Data Security Breach Litigation","Grimm, Paul W.",MD,2018-12-03,2019-02-06,2019-02-13,8:19-md-2879,91,Miscellanous,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,"CMO 1 sets out MCL criteria. 4 categories of leads appointed: consumer, financial institution, derivative, securities",,Robert Vogel,checked,3,7,0,7,,old
2884,2884 IN RE: Kerydin (Tavaborole) Topical Solution 5% Patent Litigation,"Andrews, Richard G.",DE,2019-01-07,2019-04-03,,1:19-md-2884,3,Intellectual Property,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Orders (yet),No appointment order found,Reynold Orsua,checked,0,0,0,0,,old
2885,2885 IN RE: 3M Combat Arms Earplug Products Liability Litigation,"Rodgers, M. Casey",FLN,2019-01-25,2019-04-03,2019-04-05,3:19-md-2885,963,Products Liability,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"13 different committees. Panel, including private attorney, person from Brown Greer, and MJ selects leaders. Really elaborate structure",,Robert Vogel,checked,11,18,11,7,,old
2886,2886 IN RE: Allura Fiber Cement Siding Products Liability Litigation,"Norton, David C.",SC,2019-01-28,2019-04-02,2019-04-29,2:19-mn-2886,11,Products Liability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Conference held on 6/4/2019. Agenda items addressed. Parties in agreement re: the appointment of liaison counsel, the appointment of lead counsel and committees of counsel for plaintiffs and defendants, regularly scheduled status conferences, informal discovery exchanges and early mediation. Parties hope to complete early mediation by Labor Day. Next status conference to be scheduled in September.",,Reynold Orsua,checked,3,7,0,7,,old
2887,"2887 IN RE: Hill's Pet Nutrition, Inc., Dog Food Products Liability Litigation","Robinson, Julie A.",KS,2019-02-20,2019-06-04,2019-07-31,2:19-md-2887,30,Products Liability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No order; first statuts conference not held held as of 9/8/19,,Robert Vogel,checked,1,5,0,5,,old
2896,2896 IN RE: Auryxia (Ferric Citrate) Patent Litigation,"Stark, Leonard P.",DE,,2019-07-31 00:00:00,,1:19-md-02896,,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2901,2901 IN RE: Ford Motor Co. F-150 and Ranger Truck Fuel Economy Marketing and Sales Practices Litigation,"Cox, Sean F.",MIE,,2019-08-01 00:00:00,,2:19-md-02901,,Sales Practices,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2902,2902 IN RE: Sitagliptin Phosphate ('708 & '921) Patent Litigation,"Andrews, Richard G.",DE,,2019-08-08 00:00:00,,1:19-md-02902,,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2903,"2903 IN RE: Fisher-Price Rock 'n Play Sleeper Marketing, Sales Practices, and Products Liability Litigation","Crawford, Geoffrey W.",NYW,,2019-08-01 00:00:00,,1:19-md-02903,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
